job_id,skill
45,"Electrical project management, Building Electrical systems, Electrical Distribution, Emergency Generators, Uninterruptible Power Supplies (UPS), High/Medium/Low voltage applications, Heating Ventilation Air Conditioning Plumbing, Critical Water systems, Fire/Life Safety Protection Systems, Root cause analysis, Computerbased estimating, OSHA Certification, College degree, Journeyman’s license, Master electrician’s license, Strong communication skills, Organizational skills, Teamwork skills"
46,"Data Engineering, Real Time API design, Cloud native platforms, Serverless computing, High performance computing, Microservices, Data pipelines, Data Mesh, Data Fabric, Multitenancy, Data platform strategies, Software engineering, Problem solving, Operational platforms, Distributed operational systems, Resilience, Scalability, High availability, Data cleaning, Data transformation, Mentoring, Recruiting, Bachelor's Degree, Master's Degree, At least 7 years experience, At least 8 years experience, At least 10 years experience"
47,"Remote work, IQA Award, IT industry qualification (Level 4 or above), Handson experience in IT/Data sector, Level 4 teaching qualification (or willingness to pursue one), Understanding of Ofsted EIF, Coaching and guidance, Performance reviews, Observation, Corrective actions, Performance management, Quality assurance, Compliance, Targets/KPIs, Strategy implementation, Teamwork, Communication, Motivation, Problemsolving"
48,"Data Science, Quantitative Field, Technical Leadership, Interdisciplinary Collaboration, Execution and Velocity, Research and Statistical Depth, Scalable Design, Mentorship and Development, Forecasting Systems, Marketplace Dynamics, Experimental Design and Analysis, Stakeholder Alignment, Metric Frameworks, Hybrid Work, Pay and Benefits"
49,"Data privacy, Cybersecurity law, Contract law, Litigation, Legal compliance, Nondisclosure agreements, Sales and purchasing agreements, Distributor/reseller agreements, Supply agreements, Marketing and other service agreements, Commercial contracts, Employment law, Antitrust, Intellectual property, Export control, Environmental regulations, Diversity equity and inclusion, Communication skills, Multitasking, Teamwork, Travel, Spanish, Portuguese, Law school graduation, California law practice admission, 612 years corporate law department or law firm experience, Law"
50,"Data Engineering, Leadership, Project Management, Data Warehousing, P&C Insurance, SQL, Talend, ETL, AWS, Big Data, Orchestration, Cloud Computing, Data Security, Data Governance, Communication, Collaboration, Snowflake, Agile, Java, Python, Linux, Hadoop, Spark, NoSQL, Machine Learning, AI, Data Analytics, Business Intelligence, Bachelor's or Master's degree in Computer Science Data Engineering or a related field from an accredited college or university, Proven handson experience with Snowflake SQL Talend AWS and big data technologies, Indepth knowledge of the Property and Casualty (P&C) insurance domain, Experience leading and managing data engineering teams, Strong communication skills with the ability to collaborate effectively across departments, Certifications in Snowflake Talend AWS or related technologies, Familiarity with data governance security and compliance standards"
51,"Infrastructure, Troubleshooting, Optimization, Azure, DBXUC, Snowflake, DataOps, Resource Optimization, Cost Management, Pipeline Monitoring, Alerts, Failure Resolution, Data Flow, Logic Apps, Access Management, Logic Apps failures, APM Configuration"
52,"Top Secret Security, Configuration Management, Change Control, Technical Review Boards, Physical Configuration Audits, Functional Configuration Audits, IT Configuration Management, Software Configuration Management, Hardware Configuration Management, Firmware Configuration Management, Peripheral Configuration Management, Data Requirements, Contract Data Requirements List (CDRL), Data Calls, Data Requirements Review Boards (DRRBs), Statement of Work (SOW), Statement of Objectives (SOO), Performance Work Statement (PWS), Department of Defense (DoD), DoDI 5230.24, DODD 5230.25, DoD 5010.12M, DoD 5000.02R, DFARS 252.2277013, DFARS 252.2277014, ASSIST Database, MS Office Suite, Baseline Management, Version Control, Data Duplication, Media Labeling, Release Notes, CM Reports, Change Control Documentation, Baseline Administrative Activities, Briefings, Software Development Life Cycle, Database Management, Attention to Detail, Organizational Skills, Multitasking, Teamwork, US Citizenship"
53,"Program management, Project management, Data Center, DMZ, B2B, VOR, Building Networking solutions, Wireless LAN, Structured Cabling, Cable Systems, Pathways, Public transport systems, Private transport systems, WAN, Optical systems, SwitchedEthernet, LTE, SDWAN, Cloud, Virtualized services, Network Appliance, Video, Voice, Voice over IP (VoIP), UC, Collaboration services, Jira, Confluence, LeanAgile, Scrum, Kanban, SAFe Agile methodologies, Change Management, Service Delivery, PMP, ITIL, CCNA, Risk management, Decision making, Strategic thinking, Business results, Ownership, Accountability, Communication, Influence, Organization, Detail orientation, Technical acumen, Partnership, Automation, Process improvement, Financial services, Insurance, Banking, Investment banking, Nimble, Flexible, Proactive, Reactive"
54,"Data analysis, Data extraction, Data transformation, Data visualization, Data reporting, Epic Clarity reporting, SQL, Python, R, Statistical methods, Analytic methods, Epic Clarity Data Model certification, Epic Revenue Cycle certification, Certified Health Data Analyst (CHDA) certification, Project management, Agile Development, Written communication, Oral communication, Organizational skills, Analytical skills, Technical skills, User observation, Workflow analysis, Clinical experience, Healthcare data, Revenue cycle operations, EHR systems, Clinical teams, Operational teams, Senior leadership, Datadriven solutions, User experience, Informatics foundation, Digital solutions, Health system solutions"
55,"Project Management, Civil Engineering, Construction Management, LargeScale Projects, Healthcare Projects, Commercial Projects, Scheduling, Quality Assurance, Quality Control, Cost Management, Document Control, Site Safety, Leadership, Communication, Teamwork, Organizational Skills, Attention to Detail, ProblemSolving Skills, BS in Construction Management or Civil Engineering, 5+ Years of Experience in Construction Industry, Proven Track Record of Effectively Managing Job Sites, Positive Attitude and Strong Management Ability"
56,"Data Warehouse Architecture, Data Warehouse Modeling, ETL Processing, Data Processing, Confluent Kafka, Kinesis, Glue, Lambda, Snowflake, SQL Server, Python, PySpark, SQL, Data Profiling, Process Flow, Metric Logging, Error Handling, ETL Architecture, System Architectural Decisions, Development Standards, AWS Expertise, Kinesis, Glue (Spark), EMR, S3, Lambda, Athena, Streaming Services, Java Spring Framework, Spring Boot, Spring Cloud, Spring Data, NoSQL, Java"
57,"Data Analytics, SQL, Tableau, Data Visualization, Business Requirements, Data Analysis, User Documentation, Data Integration, Report Monitoring, Test Result Documentation, Statistics, Mathematics, Computer Science, Visual Software, Medical Device, Pharmaceutical, Regulatory Industry, ERP Systems, Data Exploration, Presentation Skills, Writing Skills, SAP, CRM"
58,"Medical Laboratory Science, ASCP Certification, Hematology, Chemistry, Immunohematology, Blood Banking, Microbiology, Serology, Coagulation, Urinalysis, Laboratory Safety, Laboratory Equipment Operation and Maintenance, Data Accuracy and Record Keeping, Oral and Written Communication, Mathematical Skills, Reasoning Ability, Patient Care, Blood Borne Pathogens, Laboratory Reagents, Unpleasant Patient Elements, Electrical and Mechanical Hazards"
59,"Medical Lab Technician (MLT), Compassion, Attention to Detail, Acute Care Experience, Per Diem Nursing, Travel Nursing, Locum Tenens, Interim Leadership, Clinical Instructor, HCA Healthcare, EVIND1"
60,"AI/ML, ML frameworks, Pytorch, SageMaker, HuggingFace, Image Processing, Computer Vision, Generative AI, GPU workload optimization, Model serving, Orchestration, Scaling, GPU resource management, Communication, Collaboration, Analytical skills, Problemsolving, Datadriven decisionmaking, Latest trends and technologies in AI/ML, Bachelor's/Master's in Computer Science Electrical Engineering Computer Vision or related field"
61,"Sales, Prospecting, Client Engagement, Data Analysis, Research, Analytics, Commercial Real Estate, B2B Sales, Consultative Selling, Client Training, Product Demonstrations, Business Intelligence, Marketing, Communication, Customer Service, Leadership, Teamwork, Problem Solving, Strategic Thinking, Bachelor's Degree, ClientFacing Experience, Outside Sales Experience, Motor Vehicle License, Driver's License, Driving Record, Operational Motor Vehicle, CoStar, LoopNet, S&P 500"
62,"Data Analysis, Data Modeling, Data Warehouse Systems, Power BI, Tableau, DB2, SQL Server, Oracle, Data Warehouse Architecture, ETL Processes, SQL, GQL, SAS, Data Quality Processes, Metadata Management, Relational Database Platforms"
63,"Statistical Analysis, Data Management, Statistical Software (R SAS STATA), Database Management (Red Hat Qualtrics REDCap ACCESS), Data Interpretation, Data Visualization, Report Writing, Data Modeling, Data Presentation, Manuscript Preparation, Team Supervision, Epidemiology, Biostatistics, ArcGIS, MAXQDA, AtlastTI, GIC, COVID19 Vaccination, Affirmative Action"
64,"Medical Technologist, Medical Laboratory Technician, Blood Bank, Laboratory, Clinical, Test, Equipment, Diagnosis, Treatment, Disease, Procedures, Maintenance, Shift Work, Shift Differentials, Sign On Bonus, Relocation Assistance, StateoftheArt Equipment"
65,"SQL, Tableau, Data Analytics, BI, Data Manipulation, Data Visualization, Data Modeling, Data Mining, Data Warehouse Design, Data Extraction, Dashboards, Data Communication, Data Analysis, Data Interpretation, FinTech"
66,"Hadoop, Spark, Postgres, Angular JS, Scala, NoSQL, Python, SQL, Java, MapReduce, Hive, EMR, Kafka, Gurobi, MySQL, Mongo, Cassandra, Redshift, Snowflake, UNIX/Linux, Agile engineering practices, Data pipeline frameworks, Data APIs, Data delivery services, Analytical models, Cloud Production environments, Multitier multiplatform systems, Data warehousing, Realtime data, Streaming applications"
67,"Data Center Infrastructure, Server Hardware Troubleshooting, Network Hardware Troubleshooting, Server and Network Equipment, Data Center Environments, Server Provisioning, Network Provisioning, Break/Fix Tasks, Server Hardware, Network Infrastructure, Scalability, High Availability, OnCall Rotation, Edge/POP Sites, Low Voltage Cabling, BOMs, Vendor Management, Automation, Root Cause Analysis, Runbooks, SOPs, MOPs, Fitness Program, CalTrain Go Pass, 401k Program, Flexible Vacation Policy, Medical Coverage, Dental Coverage, Vision Coverage, Unlimited Snacks, Onsite Fitness Center, Fitness Credit, Catered Lunches"
68,"Data Engineering, Data Analysis, Predictive Modeling, Data visualization tools, Python, R, SQL, Tableau/Domo, AS400, ERP systems, Inventory Management, Forecasting, Time Series Analysis, Regression Analysis, Machine Learning Algorithms, Communication skills, Team Collaboration"
69,"Data Loss Prevention (DLP), Symantec, Data Protection, Cybersecurity, SaaS, IaaS, Web proxy, Email, Endpoint solutions, Cloudbased infrastructure, Agile delivery model, Public cloud security, Multicloud environments, JIRA, AWS Cloud Practitioner, AWS Solution Architect  Associate, AWS Developer  Associate, AWS Security  Specialty, AWS Solution Architect  Professional, CISSP, GIAC, CISM, CCSP, CISA, Security+, URL filtering, Proxy, Network DLP, Scripting, Technical writing"
